period,fixed_period,interest
2019-04-01,<= 1 year,1.81
2019-04-01,>10 years,2.78
2019-05-01,1>5 years,2.06
2019-05-01,5>10 years,2.28
2019-05-01,<= 1 year,1.83
2019-05-01,>10 years,2.75
2019-06-01,1>5 years,2.08
2019-06-01,5>10 years,2.21
2019-06-01,<= 1 year,1.8
2019-06-01,>10 years,2.76
2019-07-01,1>5 years,2.03
2019-07-01,5>10 years,2.14
2019-07-01,<= 1 year,1.81
2019-07-01,>10 years,2.68
2019-08-01,1>5 years,2.04
2019-08-01,5>10 years,2.12
2019-08-01,<= 1 year,1.79
2019-08-01,>10 years,2.64
2019-09-01,1>5 years,1.94
2019-09-01,5>10 years,2.11
2019-09-01,<= 1 year,1.74
2019-09-01,>10 years,2.59
2019-10-01,1>5 years,1.85
2019-10-01,5>10 years,2.05
2019-10-01,<= 1 year,1.69
2019-10-01,>10 years,2.47
2019-11-01,1>5 years,1.91
2019-11-01,5>10 years,2.37
2019-11-01,<= 1 year,1.67
2019-11-01,>10 years,3.09
2019-12-01,1>5 years,1.79
2019-12-01,5>10 years,1.95
2019-12-01,<= 1 year,1.66
2019-12-01,>10 years,2.33
2020-01-01,1>5 years,1.79
2020-01-01,5>10 years,1.96
2020-01-01,<= 1 year,1.66
2020-01-01,>10 years,2.24
2020-02-01,1>5 years,1.7
2020-02-01,5>10 years,1.9
2020-02-01,<= 1 year,1.6
2020-02-01,>10 years,2.17
2020-03-01,1>5 years,1.7
2020-03-01,5>10 years,1.89
2020-03-01,<= 1 year,1.6
2020-03-01,>10 years,2.17
2020-04-01,1>5 years,1.71
2020-04-01,5>10 years,1.79
2020-04-01,<= 1 year,1.61
2020-04-01,>10 years,2.1
2020-05-01,1>5 years,1.71
2020-05-01,5>10 years,1.78
2020-05-01,<= 1 year,1.62
2020-05-01,>10 years,2.11
2020-06-01,1>5 years,1.7
2020-06-01,5>10 years,1.76
2020-06-01,<= 1 year,1.58
2020-06-01,>10 years,2.07
2020-07-01,1>5 years,1.73
2020-07-01,5>10 years,1.76
2020-07-01,<= 1 year,1.59
2020-07-01,>10 years,2.05
2020-08-01,1>5 years,1.78
2020-08-01,5>10 years,1.78
2020-08-01,<= 1 year,1.65
2020-08-01,>10 years,2.05
2020-09-01,1>5 years,1.78
2020-09-01,5>10 years,1.76
2020-09-01,<= 1 year,1.63
2020-09-01,>10 years,2.03
2020-10-01,1>5 years,1.73
2020-10-01,5>10 years,1.75
2020-10-01,<= 1 year,1.63
2020-10-01,>10 years,2.02
2020-11-01,1>5 years,1.73
2020-11-01,5>10 years,1.76
2020-11-01,<= 1 year,1.62
2020-11-01,>10 years,1.99
2020-12-01,1>5 years,1.7
2020-12-01,5>10 years,1.75
2020-12-01,<= 1 year,1.6
2020-12-01,>10 years,1.98
2021-01-01,1>5 years,1.65
2021-01-01,5>10 years,1.71
2021-01-01,<= 1 year,1.56
2021-01-01,>10 years,1.93
2021-02-01,1>5 years,1.62
2021-02-01,5>10 years,1.68
2021-02-01,<= 1 year,1.52
2021-02-01,>10 years,1.89
2021-03-01,1>5 years,1.57
2021-03-01,5>10 years,1.68
2021-03-01,<= 1 year,1.5
2021-03-01,>10 years,1.9
2021-04-01,1>5 years,1.55
2021-04-01,5>10 years,1.63
2021-04-01,<= 1 year,1.5
2021-04-01,>10 years,1.82
2021-05-01,1>5 years,1.53
2021-05-01,5>10 years,1.64
2021-05-01,<= 1 year,1.52
2021-05-01,>10 years,1.82
2021-06-01,1>5 years,1.54
2021-06-01,5>10 years,1.6
2021-06-01,<= 1 year,1.53
2021-06-01,>10 years,1.78
2021-07-01,1>5 years,1.58
2021-07-01,5>10 years,1.6
2021-07-01,<= 1 year,1.52
2021-07-01,>10 years,1.76
2021-08-01,1>5 years,1.57
2021-08-01,5>10 years,1.58
2021-08-01,<= 1 year,1.52
2021-08-01,>10 years,1.75
2021-09-01,1>5 years,1.54
2021-09-01,5>10 years,1.55
2021-09-01,<= 1 year,1.49
2021-09-01,>10 years,1.76
2021-10-01,1>5 years,1.62
2021-10-01,5>10 years,1.58
2021-10-01,<= 1 year,1.48
2021-10-01,>10 years,1.76
2021-11-01,1>5 years,1.59
2021-11-01,5>10 years,1.57
2021-11-01,<= 1 year,1.5
2021-11-01,>10 years,1.75
2021-12-01,1>5 years,1.62
2021-12-01,5>10 years,1.55
2021-12-01,<= 1 year,1.51
2021-12-01,>10 years,1.74
2022-01-01,1>5 years,1.61
2022-01-01,5>10 years,1.56
2022-01-01,<= 1 year,1.5
2022-01-01,>10 years,1.78
2022-02-01,1>5 years,1.63
2022-02-01,5>10 years,1.58
2022-02-01,<= 1 year,1.5
2022-02-01,>10 years,1.78
2022-03-01,1>5 years,1.67
2022-03-01,5>10 years,1.68
2022-03-01,<= 1 year,1.6
2022-03-01,>10 years,1.89
2022-04-01,1>5 years,1.75
2022-04-01,5>10 years,1.83
2022-04-01,<= 1 year,1.62
2022-04-01,>10 years,2.03
2022-05-01,1>5 years,1.94
2022-05-01,5>10 years,1.98
2022-05-01,<= 1 year,1.84
2022-05-01,>10 years,2.13
2022-06-01,1>5 years,2.2
2022-06-01,5>10 years,2.15
2022-06-01,<= 1 year,2.07
2022-06-01,>10 years,2.28
2022-07-01,1>5 years,2.52
2022-07-01,5>10 years,2.41
2022-07-01,<= 1 year,2.3
2022-07-01,>10 years,2.47
2022-08-01,1>5 years,2.81
2022-08-01,5>10 years,2.7
2022-08-01,<= 1 year,2.47
2022-08-01,>10 years,2.65
2022-09-01,1>5 years,3.12
2022-09-01,5>10 years,2.92
2022-09-01,<= 1 year,2.64
2022-09-01,>10 years,2.81
2022-10-01,1>5 years,3.49
2022-10-01,5>10 years,3.1
2022-10-01,<= 1 year,3.05
2022-10-01,>10 years,2.95
2022-11-01,1>5 years,3.59
2022-11-01,5>10 years,3.28
2022-11-01,<= 1 year,3.27
2022-11-01,>10 years,3.05
2022-12-01,1>5 years,3.71
2022-12-01,5>10 years,3.42
2022-12-01,<= 1 year,3.53
2022-12-01,>10 years,3.16
2023-01-01,1>5 years,3.99
2023-01-01,5>10 years,3.48
2023-01-01,<= 1 year,3.79
2023-01-01,>10 years,3.15
2023-02-01,1>5 years,4.32
2023-02-01,5>10 years,3.52
